CATASTROPHE,START_YEAR,END_YEAR
Macedonian Struggle,1904,1908
Theriso Revolt,1905,1906
Balkan Wars,1912,1913
World War I,1914,1918
Allied Intervention in Russian Civil War,1918,1920
Greco Turkish War,1919,1922
Corfu Incident,1923,1923
Incident at Petrich,1925,1925
World War II,1940,1945
Greek Civil War,1946,1949
Korean War,1950,1953
CONGO UNIKOM,1960,1961
Turkish Invasion of Cyprus,1974,1974
Gulf War,1990,1991
UN Iraq Kuwait Observation Mission,1991,2003
NATO Intervention,1992,2004
Imia/Kardak Crisis,1995,1995
Rebellion in Albania,1997,1997
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
