Country,Artist_Name,Artwork_Name,Year
Hungarian,"Aladar Korosfoi-Kriesch","Ego sum via, veritas et vita",1903
Hungarian,"Aladar Korosfoi-Kriesch",Vanity,1904
Hungarian,"Aladar Korosfoi-Kriesch",Memory,1905
Hungarian,"Aladar Korosfoi-Kriesch","Fountain of Art",1907
Hungarian,"Aladar Korosfoi-Kriesch","Pupppet Theatre",1907
Hungarian,"Aladar Korosfoi-Kriesch",Cassandra,1908
Hungarian,"Aladar Korosfoi-Kriesch",Madonna,1908
Hungarian,"Aladar Korosfoi-Kriesch","All Souls' Day",1910
Hungarian,"Aladar Korosfoi-Kriesch","The Story of Klára Zách I",1911
Hungarian,"Aladar Korosfoi-Kriesch","The Story of Klára Zách II",1911
Hungarian,"Aladar Korosfoi-Kriesch","Székely Folk Tales",1912
Hungarian,"Aladar Korosfoi-Kriesch",Fair,1917
Hungarian,"Aladar Korosfoi-Kriesch","Eagles above the Hero's Grave",1918
Hungarian,"Aladar Korosfoi-Kriesch","The Good Pastor",1918
Hungarian,"Amrita Sher-Gil","Young Girls",1932
Hungarian,"Amrita Sher-Gil","Sleeping woman",1933
Hungarian,"Amrita Sher-Gil","Self Portrait as Tahitian",1934
Hungarian,"Amrita Sher-Gil","Three Girls",1935
Hungarian,"Amrita Sher-Gil","Hill Women",1935
Hungarian,"Amrita Sher-Gil","The Child Bride",1936
Hungarian,"Amrita Sher-Gil",Brahmacharis,1937
Hungarian,"Amrita Sher-Gil","Bride's Toilet",1937
Hungarian,"Amrita Sher-Gil","South Indian Villagers Going to a Market",1937
Hungarian,"Amrita Sher-Gil","Hungarian Market Scene",1938
Hungarian,"Amrita Sher-Gil","Tribal Women",1938
Hungarian,"Amrita Sher-Gil","Village Scene",1938
Hungarian,"Amrita Sher-Gil","Ancient Storyteller",1940
Hungarian,"Amrita Sher-Gil",Shringaar,1940
Hungarian,"Amrita Sher-Gil","The Bride",1940
Hungarian,"Amrita Sher-Gil","Two Elephants",1940
Hungarian,"Amrita Sher-Gil","Woman on Charpai",1940
Hungarian,"Amrita Sher-Gil",Camels,1941
Hungarian,"Andre Kertesz","Circus, Budapest, 19 May 1920",1920
Hungarian,"Andre Kertesz","Jardin Du Luxembourg, Paris",1925
Hungarian,"Andre Kertesz",Paris,1925
Hungarian,"Andre Kertesz","Satiric Dancer",1926
Hungarian,"Andre Kertesz","Chair with French Horn",1927
Hungarian,"Andre Kertesz",Meudon,1928
Hungarian,"Andre Kertesz","The Fork",1928
