Country,Artist_Name,Artwork_Name,Year
Italian,Afro,"Cronaca (Autobiographia)",1953
Italian,Afro,Untitled,1955
Italian,Afro,Composition,1956
Italian,Afro,Composition,1957
Italian,Afro,"L'uccello Di Fuoco",1957
Italian,Afro,Untitled,1957
Italian,Afro,Untitled,1958
Italian,Afro,"Nero, verde, azzurro",1960
Italian,Afro,"Untitled (Composition)",1960
Italian,Afro,Untitled,1961
Italian,Afro,Untitled,1962
Italian,Afro,Untitled,1962
Italian,Afro,"Il pendolo",1963
Italian,Afro,L'approdo,1963
Italian,Afro,"Porto delle galere",1964
Italian,Afro,Untitled,1964
Italian,Afro,Composition,1965
Italian,Afro,Torneo,1965
Italian,Afro,"Composizione arancione",1966
Italian,Afro,"La sella",1967
Italian,Afro,Merida,1967
Italian,Afro,Composition,1968
Italian,Afro,Untitled,1969
Italian,Afro,Untitled,1973
Italian,Afro,Controcanto,1974
Italian,Afro,Lunario,1974
Italian,Afro,Santarossa,1974
Italian,Afro,"Abstract Composition",1975
Italian,"Agostino Bonalumi",Rosa,1964
Italian,"Agostino Bonalumi",Bianco,1965
Italian,"Agostino Bonalumi",Grigio,1965
Italian,"Agostino Bonalumi",Bianco,1966
Italian,"Agostino Bonalumi",Giallo,1966
Italian,"Agostino Bonalumi",Nero,1967
Italian,"Agostino Bonalumi",Nero,1968
Italian,"Agostino Bonalumi","Rosso ",1968
Italian,"Agostino Bonalumi",Untitled,1968
Italian,"Agostino Bonalumi",Bianco,1970
Italian,"Agostino Bonalumi",Blu,1970
Italian,"Agostino Bonalumi",Blu,1971
Italian,"Agostino Bonalumi",Blu,1971
Italian,"Agostino Bonalumi",Blu,1972
Italian,"Agostino Bonalumi",Blu,1973
Italian,"Agostino Bonalumi",Giallo,1973
Italian,"Agostino Bonalumi",Rosso,1974
Italian,"Agostino Bonalumi",Rosso,1975
Italian,"Agostino Bonalumi",Bianco,1976
Italian,"Agostino Bonalumi",Giallo,1978
Italian,"Agostino Bonalumi",Rosso,1979
Italian,"Agostino Bonalumi",Verde,1985
Italian,"Agostino Bonalumi",Bianco,1989
Italian,"Agostino Bonalumi",Azzurro,1997
Italian,"Agostino Bonalumi",Rosso,1999
Italian,"Alberto Biasi","Proiezione di luce e ombre",1961
Italian,"Alberto Biasi","Scudo Dinamico",1962
Italian,"Alberto Biasi",Untitled,1962
Italian,"Alberto Biasi","Gocce in gabbia",1964
Italian,"Alberto Biasi","Polyptych M",1968
Italian,"Alberto Biasi","Ottico cinetico",1969
Italian,"Alberto Biasi","Politipo Contrazione-Espansione",1970
Italian,"Alberto Biasi","Dis Torsione",1971
Italian,"Alberto Biasi",Untitled,1972
Italian,"Alberto Biasi",Gocce,1975
Italian,"Alberto Biasi",Politipo,1975
Italian,"Alberto Biasi","Inganno di Afrodite",1979
Italian,"Alberto Biasi","Attraverso senza toccare",1982
Italian,"Alberto Biasi",Untitled,1985
Italian,"Alberto Biasi","Dinamica Ottica",1989
Italian,"Alberto Biasi",Untitled,1990
Italian,"Alberto Biasi","Ritratto Di G",1990
Italian,"Alberto Biasi","Palla cangiante n.2",1998
Italian,"Alberto Burri","Procession of the Dead Christ",1946
Italian,"Alberto Burri","Upper Piazza",1947
Italian,"Alberto Burri",Untitled,1952
Italian,"Alberto Burri",Composition,1953
Italian,"Alberto Burri",Sackcloth,1953
Italian,"Alberto Burri","Sacking and Red",1954
Italian,"Alberto Burri","Cover for 17 variazioni su temi proposti per una pura ideologia fonetica",1955
Italian,"Alberto Burri","Plate from 17 variazioni su temi proposti per una pura ideologia fonetica",1955
Italian,"Alberto Burri","Plate from 17 variazioni su temi proposti per una pura ideologia fonetica",1955
Italian,"Alberto Burri",Combustione,1957
Italian,"Alberto Burri",Iron,1960
Italian,"Alberto Burri",Combustion,1961
Italian,"Alberto Burri","Red Plastic",1961
Italian,"Alberto Burri","White Cretto",1975
Italian,"Alberto Burri","Cretto Grande Bianco",1982
Italian,"Alberto Magnelli","Maschere No 1",1909
Italian,"Alberto Magnelli","Decorative Panel, Woman No. 2",1910
Italian,"Alberto Magnelli","Man Smoking",1914
Italian,"Alberto Magnelli","Map of the World and Lacerba",1914
Italian,"Alberto Magnelli","Nude No. 1",1914
Italian,"Alberto Magnelli","The Cafe",1914
Italian,"Alberto Magnelli","The Drunk Man",1914
Italian,"Alberto Magnelli","Woman on a Balcony",1914
Italian,"Alberto Magnelli","Femme Ã  la blouse jaune",1916
Italian,"Alberto Magnelli","La Toilette",1917
Italian,"Alberto Magnelli","Explosion lyrique no. C",1918
Italian,"Alberto Magnelli","Lyrical Explosion No. 12",1918
Italian,"Alberto Magnelli","Farmers at Table",1922
Italian,"Alberto Magnelli","Tuscan Landscape",1922
Italian,"Alberto Magnelli","The Readers",1931
Italian,"Alberto Magnelli","Pierres No. 21",1933
Italian,"Alberto Magnelli",Incantation,1935
Italian,"Alberto Magnelli",Composition,1941
Italian,"Alberto Magnelli","Points D'Hostilite No. 2 A",1941
Italian,"Alberto Magnelli","Tension D'Images",1945
Italian,"Alberto Magnelli","Mystere vert",1952
Italian,"Alberto Magnelli","Animated Tension",1953
Italian,"Alberto Magnelli","Bulwark No. 1",1958
Italian,"Alberto Magnelli",Conversations,1958
Italian,"Alberto Magnelli",Composition,1960
Italian,"Alberto Magnelli",Composizione,1962
Italian,"Alberto Magnelli","Sur fond gris n. 10",1963
Italian,"Alberto Magnelli",Untitled,1963
Italian,"Alberto Magnelli","Composizione in Azzurro",1965
Italian,"Alberto Magnelli","Repercussion 4",1965
Italian,"Alberto Magnelli","Ordered Tempest",1967
Italian,"Alberto Magnelli","La Magnanerie de la Ferrage",1971
Italian,"Aldo Mondino",Untitled,1960
Italian,"Aldo Mondino","Bela Balans",1965
Italian,"Aldo Mondino","Cad. Eva americana",1966
Italian,"Aldo Mondino","Caduta di stella",1968
Italian,"Aldo Mondino",Iniziazione,1969
Italian,"Aldo Mondino","Cioccolatini da morto",1970
Italian,"Aldo Mondino",Collage,1973
Italian,"Aldo Mondino","AM. Strande, Paris",1981
Italian,"Aldo Mondino","Viola dâ€™amore",1985
Italian,"Aldo Mondino",Byron,1989
Italian,"Aldo Mondino","Osman III (1754-1757)",1989
Italian,"Aldo Mondino","Capi e copricapi",1993
Italian,"Aldo Mondino","Ritratto di Georgia O'Keeffe",1993
Italian,"Aldo Mondino",Silveti,1995
Italian,"Aldo Mondino",Turcata,1998
Italian,"Aldo Mondino","Qui c'est moi. Chocolate mosaic",1999
Italian,"Alfredo Volpi",Bandeirinhas,1950
Italian,"Alfredo Volpi","Grande fachada festiva",1950
Italian,"Alfredo Volpi","Festa de SÃ£o JoÃ£o",1953
Italian,"Alfredo Volpi","PÃ¡ssaro de PapelÃ£o",1955
Italian,"Alfredo Volpi","Barco com Bandeirinhas e PÃ¡ssaros ",1955
Italian,"Alfredo Volpi",Sereia,1960
Italian,"Alfredo Volpi","Bandeirinhas estruturadas",1966
Italian,"Alfredo Volpi","Bandeirinhas estruturadas",1970
Italian,"Alfredo Volpi",Fachada,1970
Italian,"Alfredo Volpi",Catedral,1973
Italian,"Alighiero Boetti","Lampada annuale",1967
Italian,"Alighiero Boetti","Zig Zag",1967
Italian,"Alighiero Boetti",Cubo,1968
Italian,"Alighiero Boetti",Dama,1968
Italian,"Alighiero Boetti","Emme I Elle",1970
Italian,"Alighiero Boetti","Ma cosa fai? Ma cosa dici?",1972
Italian,"Alighiero Boetti",Pier-Piet,1974
Italian,"Alighiero Boetti",Autodisporsi,1975
Italian,"Alighiero Boetti","Alternando da 1 a 100 e viceversa",1977
Italian,"Alighiero Boetti","Per nuovi desideri",1977
Italian,"Alighiero Boetti",Mappa,1978
Italian,"Alighiero Boetti","Auto-nomo (I Vedenti)",1979
Italian,"Alighiero Boetti","Rassegna Internazionale Teatri Stabili; Faccine Colorate",1979
Italian,"Alighiero Boetti",Untitled,1979
Italian,"Alighiero Boetti",Dieciundicidodici,1980
Italian,"Alighiero Boetti","Rane e specchi",1980
Italian,"Alighiero Boetti","Untitled (TRE123AEB)",1980
Italian,"Alighiero Boetti",Untitled,1980
Italian,"Alighiero Boetti","Untitled (Stambecchi)",1981
Italian,"Alighiero Boetti","Immaginando Tutto",1982
Italian,"Alighiero Boetti",1983,1983
Italian,"Alighiero Boetti","Cinque Per Cinque Venticinque",1983
Italian,"Alighiero Boetti",Mappa,1983
Italian,"Alighiero Boetti",Afghanistan,1985
Italian,"Alighiero Boetti",Millenovecentottantacinque,1985
Italian,"Alighiero Boetti","Da Alighiero Nati a Guido Boetti",1986
Italian,"Alighiero Boetti","Untitled (Tuffatore)",1986
Italian,"Alighiero Boetti","Untitled (Panthers)",1987
Italian,"Alighiero Boetti","Fanno Cinque",1988
Italian,"Alighiero Boetti","Mappa del mondo",1988
Italian,"Alighiero Boetti","Mettere i verbi all'infinito millenovecento ottantotto...",1988
Italian,"Alighiero Boetti","Oggi Venisetesimo Giorno Undicesimo...",1988
Italian,"Alighiero Boetti","Oggi venticinquesimo giorno del settimo mese...",1988
Italian,"Alighiero Boetti","Pesci spada",1988
Italian,"Alighiero Boetti",Tutto,1988
Italian,"Alighiero Boetti","Uno dei tre quadri muti senza scrittura",1988
Italian,"Alighiero Boetti","L'energia Iniziale",1989
Italian,"Alighiero Boetti","Probing The Mysteries Of A Double Life",1990
Italian,"Alighiero Boetti","Svelare e rivelare",1990
Italian,"Alighiero Boetti","Tavola pitagorica (Farsi)",1990
Italian,"Alighiero Boetti","Bugs Bunny",1992
Italian,"Alighiero Boetti","A braccia conserte",1994
Italian,"Amedeo Modigliani","Bearded Man",1905
Italian,"Amedeo Modigliani","Woman's Head with Beauty Spot, ",1906
Italian,"Amedeo Modigliani","Head of a Woman with a Hat",1907
Italian,"Amedeo Modigliani","Nude with Hat, ",1907
Italian,"Amedeo Modigliani","Portrait of a Woman",1907
Italian,"Amedeo Modigliani","Portrait of Maude Abrantes",1907
Italian,"Amedeo Modigliani","Woman's Head in Profile",1907
Italian,"Amedeo Modigliani","Female nude with Hat, ",1908
Italian,"Amedeo Modigliani","Head of a Young Woman",1908
Italian,"Amedeo Modigliani","Seated nude",1908
Italian,"Amedeo Modigliani","The Jewish Woman",1908
Italian,"Amedeo Modigliani","A suffering nude, ",1909
Italian,"Amedeo Modigliani","Beggar Woman",1909
