CATASTROPHE,START_YEAR,END_YEAR
Boxer Rebellion,1899,1901
Italo Turkish War,1911,1912
World War I,1914,1918
Allied Intervention in Russian Civil War,1918,1920
Occupation of Adalia,1918,1923
Vlora War,1920,1920
Corfu Incident,1923,1923
Pacification of Libya,1923,1932
Second Italo Abyssinian War,1935,1936
Spanish Civil War,1936,1939
Invasion of Albania,1939,1939
World War II,1939,1945
Multinational Force in Lebanon,1982,1984
Gulf War,1991,1991
Bosnian War,1992,1996
Somali Civil War,1992,1995
Operation Alba,1997,1997
Kosovo War,1999,1999
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
