Country,Artist_Name,Artwork_Name,Year
Japanese,"Aki Kuroda","Le temps",1975
Japanese,"Aki Kuroda","First Night I",1979
Japanese,"Aki Kuroda","Untitled #5",1982
Japanese,"Aki Kuroda",Untitled,1987
Japanese,"Aki Kuroda",Untitled,1988
Japanese,"Aki Kuroda",Untitled,1988
Japanese,"Aki Kuroda",Untitled,1995
Japanese,"Aki Kuroda","Yellow Box-Pass",1996
Japanese,"Aki Kuroda",Untitled,1998
Japanese,"Aki Kuroda",Untitled,1998
Japanese,"Akira Kanayama",Balloon,1955
Japanese,"Akira Kanayama",Ashiato,1956
Japanese,"Akira Kanayama",Work,1957
Japanese,"Akira Kanayama",Work,1957
Japanese,"Akira Kanayama",Work,1957
Japanese,"Akira Kanayama",Work,1957
Japanese,"Asano Takeji","Saururus Chinensis and Hypericum Patulum",1930
Japanese,"Asano Takeji","Distant View of Shijo in the Early Morning",1931
Japanese,"Asano Takeji","Snow at Ginkakuji",1931
Japanese,"Asano Takeji","Moonlit Night at the Museum",1932
Japanese,"Asano Takeji","Rain in Higashi-Honganji Temple, Kyoto",1935
Japanese,"Asano Takeji","Dorokyo Gorge",1940
Japanese,"Asano Takeji",Kinomastushima,1940
Japanese,"Asano Takeji","Nachi Waterfall",1940
Japanese,"Asano Takeji","Pagoda and Mt. Fuji",1940
Japanese,"Asano Takeji","Shirahama Onsen",1940
Japanese,"Asano Takeji",Wakanoura,1940
Japanese,"Asano Takeji",Arashiyama,1949
Japanese,"Asano Takeji","Lake Shojin",1949
Japanese,"Asano Takeji","Lesson in Japanese Dancing",1949
Japanese,"Asano Takeji","Rice-Cake Making",1949
Japanese,"Asano Takeji",Tojinbo,1949
Japanese,"Asano Takeji","Kiyamachi Street, Kyoto",1951
Japanese,"Asano Takeji","Moonlight in Yasaka Pagoda",1951
Japanese,"Asano Takeji","Spring View of Mount Fuji",1951
Japanese,"Asano Takeji","Night Scene of Kitano Shrine",1952
Japanese,"Asano Takeji","A Bamboo in the Shrine",1953
Japanese,"Asano Takeji","Big Buddha Of Todaiji Temple",1953
Japanese,"Asano Takeji","Drizzling Rain at Nijo Castle",1953
Japanese,"Asano Takeji","Drizzling Rain in Ukimido",1953
Japanese,"Asano Takeji","Rain in Kiyomizu Temple",1953
Japanese,"Asano Takeji","Rain in Sanjyusangendo Temple, Kyoto",1953
Japanese,"Asano Takeji","Snow at Hiunkaku Temple, Kyoto",1953
Japanese,"Asano Takeji","Snow at Nan-endo Temple, Nara",1953
Japanese,"Asano Takeji","Spring in Kurama Temple",1953
Japanese,"Asano Takeji","Twilight at Yakushiji Temple",1953
Japanese,"Asano Takeji","Twilight in the Village, Nara",1953
Japanese,Ay-O,"Readymade Rainbow",1964
Japanese,Ay-O,"Animated Rainbow. Help",1965
Japanese,Ay-O,"Finger Box",1965
Japanese,Ay-O,Composition,1966
Japanese,Ay-O,"Depiction of the Ten Commandments, Rainbow Buddha - Rainbow Hokusai",1970
Japanese,Ay-O,"Rainbow Environment No.7: Tactile Rainbow Room",1970
Japanese,Ay-O,"Rainbow night 8",1971
Japanese,Ay-O,"Fouji Yama (24 Rainbow Gradation)",1974
Japanese,Ay-O,"Heart Sutra",1981
Japanese,Ay-O,"Sumo Wrestling",1984
Japanese,Ay-O,"300 meter Rainbow Eiffel Tower Project, Paris",1987
Japanese,Ay-O,"Rainbow Eiffel Tower Project Sketch",1987
Japanese,Deiryu,Bamboo,1940
Japanese,"Funasaka Yoshisuke",Work.At21,1969
Japanese,"Funasaka Yoshisuke","G 07-006",1970
Japanese,"Funasaka Yoshisuke","Lemon with Holes",1970
Japanese,"Funasaka Yoshisuke","Work A30",1970
Japanese,"Funasaka Yoshisuke","Three Lemons",1971
Japanese,"Funasaka Yoshisuke","Work JY5",1971
Japanese,"Funasaka Yoshisuke","Work JY234",1971
Japanese,"Funasaka Yoshisuke","Lemon, Black and White",1972
Japanese,"Funasaka Yoshisuke",Lemon,1972
Japanese,"Funasaka Yoshisuke",Lemons,1972
Japanese,"Funasaka Yoshisuke","Four Seasons of Lemon - Winter",1973
Japanese,"Funasaka Yoshisuke","Blue and White space - 366",1974
Japanese,"Funasaka Yoshisuke",Untitled,1974
Japanese,"Funasaka Yoshisuke",406,1975
Japanese,"Funasaka Yoshisuke","Female Nude",1975
Japanese,"Funasaka Yoshisuke",Figure,1975
Japanese,"Funasaka Yoshisuke","Mt. Fuji",1976
Japanese,"Funasaka Yoshisuke","My Space My Dimension",1976
Japanese,"Funasaka Yoshisuke","My Space and My Dimension",1978
Japanese,"Funasaka Yoshisuke",Work-519,1978
Japanese,"Funasaka Yoshisuke",Lemon,1979
Japanese,"Funasaka Yoshisuke",646,1981
Japanese,"Funasaka Yoshisuke","My Space And My Dimension",1981
Japanese,"Funasaka Yoshisuke",799,1983
Japanese,"Funasaka Yoshisuke",832,1983
Japanese,"Funasaka Yoshisuke",833,1983
Japanese,"Funasaka Yoshisuke",843,1984
Japanese,"Funasaka Yoshisuke","My Space And My Dimension",1984
Japanese,"Funasaka Yoshisuke",883,1985
Japanese,"Funasaka Yoshisuke",885,1985
Japanese,"Funasaka Yoshisuke",897,1985
Japanese,"Funasaka Yoshisuke","929 (Mt. Fuji)",1986
Japanese,"Funasaka Yoshisuke",933,1986
Japanese,"Funasaka Yoshisuke",941,1986
Japanese,"Funasaka Yoshisuke",951,1986
Japanese,"Funasaka Yoshisuke",956,1987
Japanese,"Funasaka Yoshisuke",965,1987
Japanese,"Funasaka Yoshisuke",985,1988
Japanese,"Funasaka Yoshisuke","My Space My Dimension - M302",1988
Japanese,"Funasaka Yoshisuke","Sails at Sea",1989
Japanese,"Funasaka Yoshisuke",Lemons,1992
Japanese,"Goyo Hashiguchi","Woman After Bath",1915
Japanese,"Goyo Hashiguchi","Rain at Yabakei",1918
Japanese,"Goyo Hashiguchi","Woman Applying Powder",1918
Japanese,"Goyo Hashiguchi","Beauty in Long Undergarment",1920
Japanese,"Goyo Hashiguchi",Ducks,1920
Japanese,"Goyo Hashiguchi","Kamisuki (Combing the hair)",1920
Japanese,"Goyo Hashiguchi","Mt. Ibuki in Snow",1920
Japanese,"Goyo Hashiguchi","Sanjo Bridge, Kyoto",1920
Japanese,"Goyo Hashiguchi","Woman After Bath",1920
Japanese,"Goyo Hashiguchi","Woman Holding Lipstick",1920
Japanese,"Goyo Hashiguchi","Woman Holding Tray",1920
Japanese,"Goyo Hashiguchi","Woman in Summer Garment",1920
Japanese,"Goyo Hashiguchi","Woman Washing Her Face",1920
Japanese,"Goyo Hashiguchi","Woman Washing Her Hair",1920
Japanese,"Goyo Hashiguchi","Woman With a Hand Towel",1920
Japanese,"Goyo Hashiguchi","Young Woman in Summer Kimono",1920
Japanese,"Goyo Hashiguchi","Hot Spring Hotel",1921
Japanese,"Hasui Kawase","Kozu, Osaka",1924
Japanese,"Hasui Kawase","Autumn Rainbow at Hatta, Kaga",1924
Japanese,"Hasui Kawase","Kabuki Theatre",1925
Japanese,"Hasui Kawase","Snow at Shirochi",1925
Japanese,"Hasui Kawase","Kansau Shrine in Snow at Lake Tazawa",1927
Japanese,"Hasui Kawase","Starlit Night, Miyajima",1928
Japanese,"Hasui Kawase","Tsuchizaki, Akita",1928
Japanese,"Hasui Kawase","Shichirigahama, Soshu",1930
Japanese,"Hasui Kawase","Full Moon at Magome",1930
Japanese,"Hasui Kawase","Morning at Nijubashi Bridge",1930
Japanese,"Hasui Kawase","Mount Fuji from Taganora Bridge",1930
Japanese,"Hasui Kawase","Omori Beach at Night",1930
Japanese,"Hasui Kawase","The Road to Nikko",1930
