Country,Artist_Name,Artwork_Name,Year
Mexican,"Alberto Gironella",Pudridero,1964
Mexican,"Alberto Gironella","Francisco Lezcano en su taller",1966
Mexican,"Alberto Gironella","Festin a Bunuel",1975
Mexican,"Alberto Gironella","Terra Nostra",1975
Mexican,"Alberto Gironella","La Reina de los yugos",1976
Mexican,"Alberto Gironella","El sueno de Dona Marina 2",1977
Mexican,"Alberto Gironella","Madre Patria",1985
Mexican,"Alberto Gironella","Sanda as Carmen",1985
Mexican,"Alberto Gironella",Carmen,1987
Mexican,"Alberto Gironella","M. Degas visita a Sonia",1988
Mexican,"Alberto Gironella","Zapata con balazos",1988
Mexican,"Alberto Gironella","Edna la famosa",1990
Mexican,"Alberto Gironella","Potlash - homenaje a Octavio Paz",1990
Mexican,"Alberto Gironella",Carmen,1991
Mexican,"Alberto Gironella",Ultramarinos,1991
Mexican,"Alberto Gironella",Madonna,1992
Mexican,"Alberto Gironella","Madonna con esqueleto",1993
Mexican,"Carlos Merida","Figures at Work",1927
Mexican,"Carlos Merida",Musicians,1927
Mexican,"Carlos Merida","Angel on Horseback",1931
Mexican,"Carlos Merida","Dances of Mexico",1939
Mexican,"Carlos Merida","Dances of Mexico",1939
Mexican,"Carlos Merida","Native Couple",1939
Mexican,"Carlos Merida",Fecundidad,1944
Mexican,"Carlos Merida","El Dios del Fuego",1948
Mexican,"Carlos Merida",Retablo,1950
Mexican,"Carlos Merida","Geometrica en la forma",1951
Mexican,"Carlos Merida","Anthropomorphic Still Life",1958
Mexican,"Carlos Merida",Untitled,1964
Mexican,"Carlos Merida",Epitalamio,1968
Mexican,"Carlos Merida","Juego en tres tonos",1972
Mexican,"Carlos Merida","Ventana al infinito",1972
Mexican,"Carlos Merida","The Prodigal Son",1973
Mexican,"Carlos Merida","El doble",1977
Mexican,"Carlos Merida","La Familia",1977
Mexican,"Carlos Merida","Figures with Pipes",1978
Mexican,"Carlos Merida","El Verano",1981
Mexican,"Carlos Merida","A hymn to the Shulamite",1982
Mexican,"Carlos Orozco Romero","The Miner",1929
Mexican,"Carlos Orozco Romero",Women,1939
Mexican,"Carlos Orozco Romero","Lago de Patzcuaro",1945
Mexican,"Carlos Orozco Romero","The Eclipse",1952
Mexican,"Carlos Orozco Romero","Ensayo de color",1953
Mexican,"Clarence White","A Study in Gum",1900
Mexican,"Clarence White",Nude,1900
Mexican,"Clarence White","Winter Landscape, Newark, Ohio",1900
Mexican,"Clarence White","Letitia Felix",1901
Mexican,"Clarence White","The Cave",1901
Mexican,"Clarence White","F. Holland Day",1902
Mexican,"Clarence White","Peacock Feather",1902
Mexican,"Clarence White","Drops of Rain",1903
Mexican,"Clarence White","The Kiss",1904
Mexican,"Clarence White","Boy with Camera Work",1905
Mexican,"Clarence White","Pipes of Pans",1905
Mexican,"Clarence White",Portrait,1905
Mexican,"Clarence White","The Brothers",1905
Mexican,"Clarence White","The Bubble",1905
Mexican,"Clarence White","The Orchard",1905
Mexican,"Clarence White","Factory Town in Winter",1906
Mexican,"Clarence White",Morning,1906
Mexican,"Clarence White","Under the Arbor",1906
Mexican,"Clarence White","A Model",1907
Mexican,"Clarence White","Experiment #27 (collaboration with Stieglitz)",1907
Mexican,"Clarence White","Newport, Rhode Island",1907
Mexican,"Clarence White",Nude,1907
Mexican,"Clarence White","Torso (collaboration with Stieglitz)",1907
Mexican,"Clarence White","Director of the Hagerstown National Bank",1909
Mexican,"Clarence White",Nude,1909
Mexican,"Clarence White","Figure Study",1910
Mexican,"Clarence White","The Skeleton of the Ship, Bath, Maine",1917
Mexican,"Clarence White",Untitled,1917
Mexican,"Clarence White","Jane and Mary Elizabeth Wilson",1919
Mexican,"Clarence White","Mother and Child",1919
Mexican,"Clarence White","Clouds, Maine",1921
Mexican,"Clarence White","The Studio Window",1924
Mexican,"David Alfaro Siqueiros","Carlos Orozco Romero",1918
Mexican,"David Alfaro Siqueiros","The Lord of Poison",1918
Mexican,"David Alfaro Siqueiros","Amado de la Cueva",1920
Mexican,"David Alfaro Siqueiros","The Elements",1922
Mexican,"David Alfaro Siqueiros","Proletarian Mother",1929
Mexican,"David Alfaro Siqueiros","Hart Crane",1931
Mexican,"David Alfaro Siqueiros","Portrait of a Dead Child",1931
Mexican,"David Alfaro Siqueiros","Portrait of Present Day Mexico",1932
Mexican,"David Alfaro Siqueiros","View of a mural depicting Democracy breaking her chains",1934
Mexican,"David Alfaro Siqueiros","Birth of Fascism",1936
Mexican,"David Alfaro Siqueiros","Head of a Woman",1936
Mexican,"David Alfaro Siqueiros","The Child Mother",1936
Mexican,"David Alfaro Siqueiros","Echo Of A Scream ",1937
Mexican,"David Alfaro Siqueiros",Ethnography,1939
Mexican,"David Alfaro Siqueiros","Portrait of the Bourgeoisie",1939
Mexican,"David Alfaro Siqueiros","Portrait of the Bourgeoisie",1939
Mexican,"David Alfaro Siqueiros","The Sob",1939
Mexican,"David Alfaro Siqueiros","Unfinished Mural, ",1940
Mexican,"David Alfaro Siqueiros","Death to the Invader, 194",1942
Mexican,"David Alfaro Siqueiros","Death to the Invader, 194",1942
Mexican,"David Alfaro Siqueiros","Allegory of Racial Equality",1943
Mexican,"David Alfaro Siqueiros",Mural,1944
Mexican,"David Alfaro Siqueiros",Self-Portrait,1945
Mexican,"David Alfaro Siqueiros",Self-Portrait,1946
Mexican,"David Alfaro Siqueiros","Cain in the United States",1947
Mexican,"David Alfaro Siqueiros","Our Present Image",1947
Mexican,"David Alfaro Siqueiros","Portrait of Angelica",1947
Mexican,"David Alfaro Siqueiros","Portrait of Dramatist Margarita Urueta",1947
Mexican,"David Alfaro Siqueiros","Portrait of Jose Clemente Orozco",1947
Mexican,"David Alfaro Siqueiros","The Devil in Church",1947
Mexican,"David Alfaro Siqueiros","Chichen Itza Burning",1948
Mexican,"David Alfaro Siqueiros","King Cuauhtemoc",1950
Mexican,"David Alfaro Siqueiros","The Resurrection of Cuauhtemoc",1950
Mexican,"David Alfaro Siqueiros","The Torment of Cuauhtemoc",1950
