Country,Artist_Name,Artwork_Name,Year
Dutch,"Bart van der Leck","The Tempest",1916
Dutch,"Bart van der Leck","Composition No. 4 (Leaving The Factory)",1917
Dutch,"Bart van der Leck",Untitled,1917
Dutch,"Bart van der Leck",Composition,1918
Dutch,"Bart van der Leck","Vrouw met koe (Woman with Cow)",1918
Dutch,"Bart van der Leck","Still life (Bowl with apples)",1921
Dutch,"Bart van der Leck","Abstract Composition",1927
Dutch,"Bart van der Leck","Aaronskelken; arums",1929
Dutch,"Bart van der Leck","Composition with one grey stripe",1958
Dutch,"Bas Jan Ader","All my clothes",1970
Dutch,"Bas Jan Ader","Broken Fall (Geometric; Blue-Yellow-Red), Westkapelle, Holland",1971
Dutch,"Bas Jan Ader","Broken Fall (Organic)",1971
Dutch,"Bas Jan Ader","Farewell to Faraway Friends",1971
Dutch,"Bas Jan Ader","On the Road to a New Neo-Plasticism, Weskapelle, Holland",1971
Dutch,"Bas Jan Ader","Pitfall on the way to a new Neo-Plasticism, Weskapelle, Holland",1971
Dutch,"Bas Jan Ader","Untitled (The Elements)",1971
Dutch,"Bas Jan Ader","Untitled (Westkapelle, Holland) ",1971
Dutch,"Bas Jan Ader","Tea Party",1972
Dutch,"Bas Jan Ader","Piet Niet",1974
Dutch,"Bas Jan Ader","In Search of the Miraculous",1975
Dutch,"Ben Vollers","Bitches Brew",1987
Dutch,"Ben Vollers",Shaman,1992
Dutch,"Ben Vollers",Zulu,1992
Dutch,"Ben Vollers","no title",1994
Dutch,"Ben Vollers","no title No. 309",1995
Dutch,"Ben Vollers","no title",1996
Dutch,"Ben Vollers",Circus,1998
Dutch,"Bram van Velde",Montrouge,1948
Dutch,"Bram van Velde",Untitled,1948
Dutch,"Bram van Velde","Sans titre (Paris, rue GÃ®t-le-Coeur)",1962
Dutch,"Bram van Velde",Composition,1967
Dutch,"Bram van Velde",Untitled,1972
Dutch,"Bram van Velde","L'Unique II",1973
Dutch,"Bram van Velde","L'Unique III",1973
Dutch,"Bram van Velde",Etendue,1974
Dutch,"Bram van Velde","Grise nuit",1975
Dutch,"Bram van Velde","Souvenir Duthuit",1975
Dutch,"Bram van Velde",Untitled,1975
Dutch,"Bram van Velde",Untitled,1975
Dutch,"Bram van Velde",Vif,1975
Dutch,"Bram van Velde",Untitled,1976
Dutch,"Bram van Velde",L'attrait,1978
Dutch,"Bram van Velde","Le tout",1978
Dutch,"Bram van Velde",Untitled,1979
Dutch,"Bram van Velde",Braises,1980
Dutch,"Bram van Velde",Composition,1980
Dutch,"Bram van Velde",Desertique,1981
Dutch,"Bram van Velde","Le bonheur de Matisse",1981
Dutch,"Bram van Velde",Nocturne,1981
Dutch,"Carel Willink","Portrait of a Lady",1930
Dutch,"Carel Willink",Wilma,1932
Dutch,"Carel Willink","The Blimp",1933
Dutch,"Carel Willink","The Execution",1933
Dutch,"Carel Willink","Self-Portrait with Wilma van der Meulen",1934
Dutch,"Carel Willink",Townscape,1934
Dutch,"Carel Willink","Zelfportret met schedel",1936
Dutch,"Carel Willink","St. John the Baptist (Self-Portrait)",1938
Dutch,"Carel Willink","Simeon the stylite",1939
Dutch,"Carel Willink","Wilma with a Cat",1940
Dutch,"Carel Willink","J. Bergmans",1944
Dutch,"Carel Willink",Self-Portrait,1944
Dutch,"Carel Willink","Girl with a Small Sheep (Girl in Renaissance Costume)",1946
Dutch,"Carel Willink",Jobstijding,1952
Dutch,"Carel Willink","Sleeping Zebra",1959
Dutch,"Carel Willink","House with two stairs",1960
Dutch,"Carel Willink","Sylvia QuiÃ«l",1975
Dutch,"Cesar Domela","Composition NÃ©oplastique",1926
Dutch,"Cesar Domela","Composition nÃ©o-plastique no. 5 O",1926
Dutch,"Cesar Domela",Composition,1926
Dutch,"Cesar Domela","Relief #12C",1936
Dutch,"Cesar Domela","Bonne AnnÃ©e",1939
Dutch,"Cesar Domela","Relief #18",1944
Dutch,"Cesar Domela",Composition,1948
Dutch,"Cesar Domela",Untitled,1948
Dutch,"Cesar Domela",Composition,1950
Dutch,"Cesar Domela","Meditation (Relief)",1950
Dutch,"Cesar Domela",Variations,1953
Dutch,"Cesar Domela",Composition,1955
Dutch,"Cesar Domela","Relief #123",1968
Dutch,"Cesar Domela",Composition,1969
Dutch,"Cesar Domela",Composition,1973
Dutch,"Cesar Domela",Composition,1974
Dutch,"Cesar Domela",Composition,1974
Dutch,Corneille,"Children in the House",1948
Dutch,Corneille,"The House of Animals",1948
Dutch,Corneille,Zoo,1948
Dutch,Corneille,"Couple et pigeon",1949
Dutch,Corneille,Music,1949
Dutch,Corneille,Untitled,1950
Dutch,Corneille,Cat,1951
Dutch,Corneille,"De Visvangst",1951
Dutch,Corneille,"Father and Sons",1951
Dutch,Corneille,"The arrival of the bird",1951
Dutch,Corneille,"Femme et Oiseau IV",1952
Dutch,Corneille,"La ville blanche",1953
Dutch,Corneille,"La tribu erre",1957
Dutch,Corneille,"Au pays de dolmens",1960
Dutch,Corneille,Untitled,1961
Dutch,Corneille,"Le soleil rouge",1963
Dutch,Corneille,"Solo de piano",1964
Dutch,Corneille,Composition,1966
Dutch,Corneille,"La sarabande de l'etÃ©",1966
Dutch,Corneille,"La tranche de pastÃ¨que",1967
Dutch,Corneille,"Composition with Figures",1971
Dutch,Corneille,"Feast in the Garden",1971
Dutch,Corneille,Odalisque,1972
Dutch,Corneille,"Passionate Lovers VIII",1974
Dutch,Corneille,Planets,1974
Dutch,Corneille,"The Lovers",1974
Dutch,Corneille,"Dans l'infinie verticalite de l'herbe la femme",1977
Dutch,Corneille,"La Femme au paupieres peints",1977
Dutch,Corneille,"Conversation: Two Nudes in an Interior",1978
Dutch,Corneille,"Red Bird",1978
Dutch,Corneille,"Tiger in Love",1979
Dutch,Corneille,"She Gives Herself to Summer",1980
Dutch,Corneille,"Les Amies",1981
Dutch,Corneille,"The Artist and His Model",1986
Dutch,Corneille,"Petite Musique du Printemps",1987
Dutch,Corneille,"Woman and Bird",1987
Dutch,Corneille,Eva,1998
Dutch,Corneille,"Paradise, Paradise",1999
Dutch,"Cornelis Vreedenburgh","A Peasant Woman On A Path Along A Canal",1907
Dutch,"Cornelis Vreedenburgh","A Peasant in a Moored Barge",1907
Dutch,"Cornelis Vreedenburgh","Winterfun On De Loswal, Hattem",1914
Dutch,"Cornelis Vreedenburgh","A View of the Montelbaanstoren Amsterdam",1925
Dutch,"Cornelis Vreedenburgh","The Flowermarket On The Singel, Amsterdam, With The Munttoren Beyond",1927
Dutch,"Cornelis Vreedenburgh","A Townscene With Children At Play, Haarlem",1930
Dutch,"Cornelis Vreedenburgh","View Of The Singel, Amsterdam, With The Koepelkerk Beyond",1940
Dutch,"Eugene Brands",Demon,1951
Dutch,"Eugene Brands",Noodlotsmaan,1951
Dutch,"Eugene Brands","Slot en sleutel",1951
Dutch,"Eugene Brands","White chapel ",1951
Dutch,"Eugene Brands","Vis boven bloemen",1953
Dutch,"Eugene Brands","De dichter en zijn muze",1956
Dutch,"Eugene Brands","Eugene en Eugenie",1956
Dutch,"Eugene Brands","In het maanverlichte park",1956
Dutch,"Eugene Brands",Tropics,1956
Dutch,"Eugene Brands","Kist met kindertekeningen",1958
Dutch,"Eugene Brands","The Ball Game",1958
Dutch,"Eugene Brands","Blauwe wolk",1959
Dutch,"Eugene Brands","Vogel vliegt over stad",1960
Dutch,"Eugene Brands",L'Orient,1965
Dutch,"Eugene Brands",Fabeldier,1969
Dutch,"Eugene Brands","Deep Universe",1970
Dutch,"Eugene Brands","ArchaÃ¯s landschap",1972
Dutch,"Eugene Brands",Compositie,1974
Dutch,"Eugene Brands","M: Mystery",1975
Dutch,"Eugene Brands","Two cowskins designed by M",1979
Dutch,"Eugene Brands",Painting,1980
Dutch,"Eugene Brands",Avondval,1982
Dutch,"Eugene Brands","La place dÃ©serte",1982
Dutch,"Eugene Brands","Zonder titel",1982
Dutch,"Eugene Brands",Zwart,1982
Dutch,"Eugene Brands",Vrijschrift,1984
Dutch,"Eugene Brands","Vroeg in de morgen",1985
Dutch,"Eugene Brands","Garden II",1986
Dutch,"Eugene Brands",Untitled,1987
Dutch,"Eugene Brands","Venetiaans glas",1987
Dutch,"Eugene Brands","De fruitschaal",1988
Dutch,"Eugene Brands","Dream of Reality",1988
Dutch,"Eugene Brands","House at night",1988
Dutch,"Eugene Brands","Nature morte cosmique",1988
Dutch,"Eugene Brands","Flower Light",1990
Dutch,"Eugene Brands","Peinture cosmique",1990
Dutch,"Eugene Brands","Blue window",1991
Dutch,"Eugene Brands",Composition,1991
Dutch,"Eugene Brands","Jaune radieux",1992
Dutch,"Eugene Brands","Nature morte dans la nuit",1992
Dutch,"Eugene Brands","Palette noir",1992
Dutch,"Eugene Brands","Panta Rei",1992
Dutch,"Eugene Brands","Vrij Geometrisch",1992
Dutch,"Eugene Brands",Yin-Yuang,1992
Dutch,"Eugene Brands","Dynamic red",1993
Dutch,"Eugene Brands","Table with nebulae",1993
Dutch,"Eugene Brands","Zonder titel",1993
Dutch,"Eugene Brands","Couleur au fond cosmique",1994
Dutch,"Eugene Brands","Landscape II",1995
Dutch,"Eugene Brands","Composition au fond cosmique",1996
Dutch,"Eugene Brands",Nachtvenster,1996
