Country,Artist_Name,Artwork_Name,Year
Romanian,"Alexandre Istrati",Untitled,1950
Romanian,"Alexandre Istrati",Untitled,1950
Romanian,"Alexandre Istrati",Untitled,1950
Romanian,"Alexandre Istrati",Untitled,1950
Romanian,"Alexandre Istrati",Composition,1951
Romanian,"Alexandre Istrati","Composition orange",1951
Romanian,"Alexandre Istrati","Composition abstraite",1951
Romanian,"Alexandre Istrati",Composition,1951
Romanian,"Alexandre Istrati","Composition orange",1951
Romanian,"Alexandre Istrati","Composition abstraite",1951
Romanian,"Alexandre Istrati",Composition,1955
Romanian,"Alexandre Istrati",Composition,1955
Romanian,"Alexandre Istrati","Abstract Composition",1956
Romanian,"Alexandre Istrati",Composition,1956
Romanian,"Alexandre Istrati","Composition verte",1956
Romanian,"Alexandre Istrati","Abstract Composition",1956
Romanian,"Alexandre Istrati",Composition,1956
Romanian,"Alexandre Istrati","Composition verte",1956
Romanian,"Alexandre Istrati",Composition,1957
Romanian,"Alexandre Istrati",Composition,1957
Romanian,"Alexandre Istrati",Untitled,1957
Romanian,"Alexandre Istrati",Composition,1957
Romanian,"Alexandre Istrati",Composition,1957
Romanian,"Alexandre Istrati",Untitled,1957
Romanian,"Alexandre Istrati",Untitled,1960
Romanian,"Alexandre Istrati",Untitled,1960
Romanian,"Alexandre Istrati",Untitled,1960
Romanian,"Alexandre Istrati",Untitled,1960
Romanian,"Alexandre Istrati",Untitled,1960
Romanian,"Alexandre Istrati",Untitled,1960
Romanian,"Alexandre Istrati",Composition,1961
Romanian,"Alexandre Istrati",Composition,1961
Romanian,"Alexandre Istrati","Une flamme s'allume",1961
Romanian,"Alexandre Istrati",Composition,1961
Romanian,"Alexandre Istrati",Composition,1961
Romanian,"Alexandre Istrati","Une flamme s'allume",1961
Romanian,"Alexandre Istrati",Apparition,1962
Romanian,"Alexandre Istrati",Apparition,1962
Romanian,"Alexandre Istrati","La terre dormante",1963
Romanian,"Alexandre Istrati","La terre dormante",1963
Romanian,"Alexandre Istrati","Le monde violet",1964
Romanian,"Alexandre Istrati",Untitled,1964
Romanian,"Alexandre Istrati","Le monde violet",1964
Romanian,"Alexandre Istrati",Untitled,1964
Romanian,"Alexandre Istrati","Composition vert",1965
Romanian,"Alexandre Istrati","Composition vert",1965
Romanian,"Alexandre Istrati",Composition,1966
Romanian,"Alexandre Istrati",Composition,1966
Romanian,"Alexandre Istrati",Untitled,1969
Romanian,"Alexandre Istrati",Untitled,1969
Romanian,"Alexandre Istrati",Composition,1971
Romanian,"Alexandre Istrati",Untitled,1971
Romanian,"Alexandre Istrati",Composition,1971
