CATASTROPHE,START_YEAR,END_YEAR
1907 Romanian Peasants Revolt,1907,1907
Second Balkan War,1913,1913
World War I,1916,1918
Polish Ukrainian War,1918,1919
Hungarian Romanian War,1919,1919
Bender Uprising,1919,1919
1920 Romanian General Strike,1920,1920
Tatarbunary Uprising,1924,1924
Lupeni Strike,1929,1929
Grivita Strike,1933,1933
Legionnaires' rebellion and Bucharest pogrom,1941,1941
World War II,1941,1945
Romanian Anti Communist Resistance Movement,1948,1962
Brasov Rebellion ,1987,1987
Romanian Revolution,1989,1989
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
