Country,Artist_Name,Artwork_Name,Year
Spanish,"Alejandro Cabeza","Landscape of Spain",1989
Spanish,"Alejandro Obregon",Torocondor,1959
Spanish,"Alejandro Obregon","Parque Salamanca",1979
Spanish,"Alejandro Obregon",Guatavita,1981
Spanish,"Alejandro Obregon",Baranquilla,1982
Spanish,"Alejandro Obregon",Untitled,1982
Spanish,"Alejandro Obregon","Atardecer Marino",1983
Spanish,"Alejandro Obregon","La Ola",1987
Spanish,"Alejandro Obregon",Vientos,1989
Spanish,"Angel Planells","El somni de la voluntat ferida",1929
Spanish,"Angel Planells","Crimen Perfecto",1930
Spanish,"Angel Planells","La casa fantasmal",1932
Spanish,"Angel Planells","El jugador fantasma",1936
Spanish,"Angel Planells","El somni viatja",1936
Spanish,"Angel Planells",Hamlet,1938
Spanish,"Angel Planells","El mar desconegut",1947
Spanish,"Angel Planells","Caminen plegats el desasre i el somni",1967
Spanish,"Angel Planells",Acordeonista,1971
Spanish,"Angel Planells","Enigma i calma sobre el mar",1972
Spanish,"Angel Planells","Amenitats de la vida quotidiana",1976
Spanish,"Angel Planells","Pintura surrealista",1976
Spanish,"Angel Planells","Aparell de fisica desconeguda",1977
Spanish,"Angel Planells","Playa inexplorada",1980
Spanish,"Angel Planells","El fantasma rosa",1981
Spanish,"Antoni Tapies","Self-Portrait ",1945
Spanish,"Antoni Tapies","Personage ",1947
Spanish,"Antoni Tapies","Asia ",1951
Spanish,"Antoni Tapies","Grey and Green Painting",1957
Spanish,"Antoni Tapies","Great Painting",1958
Spanish,"Antoni Tapies","Grey Ochre ",1958
Spanish,"Antoni Tapies","Etching in Brown and Burnt-Sienna",1962
Spanish,"Antoni Tapies","El pa a la barca",1963
Spanish,"Antoni Tapies","Untitled (Flame and Mirror)",1967
Spanish,"Antoni Tapies","Angle et taches",1968
Spanish,"Antoni Tapies","Composition in black, 3 grays, and bluish",1968
Spanish,"Antoni Tapies",Journal,1968
Spanish,"Antoni Tapies",L'Enveloppe,1968
Spanish,"Antoni Tapies","Verticales en bas",1968
Spanish,"Antoni Tapies",Fregoli,1969
Spanish,"Antoni Tapies","Les Haricots",1969
Spanish,"Antoni Tapies","Nocturn Matinal",1970
Spanish,"Antoni Tapies","Ban de Loo Cologne",1972
Spanish,"Antoni Tapies","Roba interior",1972
Spanish,"Antoni Tapies","The Sieve ",1972
Spanish,"Antoni Tapies",Foll,1973
Spanish,"Antoni Tapies","Llambrec Material",1975
Spanish,"Antoni Tapies","Les Trois Noirs",1976
Spanish,"Antoni Tapies","Negre i roig III: Fora",1976
Spanish,"Antoni Tapies","Negre i roig V: A damunt vermell",1976
Spanish,"Antoni Tapies","Cartography ",1976
Spanish,"Antoni Tapies","Pasted Cloth ",1976
Spanish,"Antoni Tapies","Petrificada Petrificante II",1978
Spanish,"Antoni Tapies",Etiquette,1979
Spanish,"Antoni Tapies","Sous Zero",1979
Spanish,"Antoni Tapies","Repliquer II",1981
Spanish,"Antoni Tapies",Z,1981
Spanish,"Antoni Tapies","Aparicions 3",1982
Spanish,"Antoni Tapies","Pied marron",1982
Spanish,"Antoni Tapies","Quatre gestes noirs",1983
Spanish,"Antoni Tapies","Jambe et chiffres",1984
Spanish,"Antoni Tapies",Seins,1984
Spanish,"Antoni Tapies","Coeur et fleche",1985
Spanish,"Antoni Tapies",Calligraphique,1987
Spanish,"Antoni Tapies","Equation III",1987
Spanish,"Antoni Tapies","Erinnerungen I",1988
Spanish,"Antoni Tapies",Llibertat,1988
Spanish,"Antoni Tapies","Head and varnish ",1990
Spanish,"Antoni Tapies","Four ",1992
Spanish,"Antoni Tapies","No doors or windows ",1993
Spanish,"Antoni Tapies",Hea,1995
Spanish,"Antoni Tapies","Lectura ",1998
Spanish,"Arturo Souto","Cover of ""La Casa de los solteros"""" by Alberto Insua""",1927
Spanish,"Arturo Souto","Naked women in a landscape",1929
Spanish,"Arturo Souto",Stamp,1929
Spanish,"Arturo Souto","Paris at night",1930
Spanish,"Arturo Souto",Accordionist,1931
Spanish,"Arturo Souto",Scullery,1931
Spanish,"Arturo Souto","The painter Diego Rivera",1931
Spanish,"Arturo Souto","The landscape lit (4 th)",1931
Spanish,"Arturo Souto",Fair,1931
Spanish,"Arturo Souto",Ball,1931
Spanish,"Arturo Souto",Harlequin,1932
Spanish,"Arturo Souto","Inn at port",1932
Spanish,"Arturo Souto",Nonsense,1932
