Country,Artist_Name,Artwork_Name,Year
Swiss,"Adolf Dietrich","Edge of the Forest near Langenargen",1917
Swiss,"Adolf Dietrich",Waldrand,1918
Swiss,"Adolf Dietrich","Berlingen Seen from the Untersee",1926
Swiss,"Adolf Dietrich","Goldregen im Eugensberg",1928
Swiss,"Adolf Dietrich","Still life with vegetables, mice and rabbits",1928
Swiss,"Adolf Dietrich","A Gentleman ",1928
Swiss,"Adolf Dietrich","Nachbargarten im Herbst",1931
Swiss,"Adolf Dietrich","Spring time at Lake Constance",1932
Swiss,"Adolf Dietrich","BILD VOM VATER ",1932
Swiss,"Adolf Dietrich","Sechs Meerschweinchen im Stall",1934
Swiss,"Adolf Dietrich","ZaunkÃ¶nigpaar (HagschlÃ¼pferli)",1937
Swiss,"Adolf Dietrich","Anbetung der KÃ¶nige",1939
Swiss,"Adolf Dietrich","Sleigh Ride",1939
Swiss,"Adolf Dietrich","Blauer Wintertag mit Schienerberg",1940
Swiss,"Adolf Dietrich","Graue Winterlandschaft bei Mannenbach",1940
Swiss,"Adolf Dietrich","Novembersonne am Untersee",1941
Swiss,"Adolf Dietrich","Birds on Riser",1944
Swiss,"Adolf Dietrich","BlÃ¼hender Schlangenkaktus vor Seelandschaft",1944
Swiss,"Adolf Dietrich","Blue tit on a brach of a larch",1946
Swiss,"Adolf Dietrich","Herbst am Untersee",1952
Swiss,"Adolf Dietrich","Landschaft mit ZaunkÃ¶nig",1952
Swiss,"Adolf Dietrich",SchlÃ¼sselblumen,1953
Swiss,"Adolf Dietrich",Marder,1954
Swiss,"Adolf Dietrich","Margeritenstrauss mit Kanarienvogel",1954
Swiss,"Adolf Dietrich","Balbo lying on the lawn ",1955
Swiss,"Adolf Dietrich",Sojabohnen,1956
Swiss,"Albert Anker","Le Vieux Schnapseur - Un Jules Avec Verre De Schnaps",1900
Swiss,"Albert Anker","Bildnis eines blonden MÃ¤dchens",1901
Swiss,"Albert Anker","Old man taking a rest (Gyp)",1901
Swiss,"Albert Anker","Junge Frau einen Brief schreibend",1903
Swiss,"Albert Anker","Sitzendes MÃ¤dchen mit einer Katze",1903
Swiss,"Albert Anker","Ã„ltere Frau in der Bibel lesend",1904
Swiss,"Albert Anker","Sitzende BÃ¤uerin beim Stricken",1904
Swiss,"Albert Anker","Grossvater mit Zeitung",1906
Swiss,"Albert Anker","MÃ¤dchen in Winterlandschaft",1906
Swiss,"Albert Anker","The absinthe drinker",1907
Swiss,"Albert Anker","The Absinth Drinker",1908
Swiss,"Albert Anker","Schreibender Knabe",1908
Swiss,"Albert Anker",Self-Portrait,1908
Swiss,"Albert Anker","Lesender Mann",1909
Swiss,"Albert Anker","BÃ¤uerin am Spinnrad",1910
Swiss,"Albert Anker","MÃ¤dchen, Kaffee trinkend",1910
Swiss,"Albert Trachsel",Droomlandschap,1905
Swiss,"Albert Trachsel","Dream Landscape with a Group of Trees",1906
Swiss,"Albert Trachsel","Paesaggio da sogno",1907
Swiss,"Albert Trachsel","Blaue Bergkuppe",1910
Swiss,"Albert Trachsel","Landschaft mit freistehender Weide",1929
Swiss,"Albert Trachsel",Berglandschaft,1930
Swiss,Ben,"copier = art",1962
Swiss,Ben,"Geste: Manger un oeuf dur Ã  12h32",1966
Swiss,Ben,"Geste: Descendre le var",1969
Swiss,Ben,"Ben vous confessera, puis aprÃ¨s derriÃ¨re, vous pourrez vous suicider",1970
Swiss,Ben,"A Vendre",1971
Swiss,Ben,"Art Is Ego",1971
Swiss,Ben,"Geste: Me Cacher Sous un Drap au Milieu d'une Place Publique",1971
Swiss,Ben,"La VÃ©ritÃ© est Que",1971
Swiss,Ben,"(1) Surface (2) MatiÃ¨re (3) Communication",1971
Swiss,Ben,"MÃªme un point noir est oeuvre d'art",1972
Swiss,Ben,"Per cambiare l'arte",1975
Swiss,Ben,Style,1975
Swiss,Ben,"Partie du tout a Ben",1984
Swiss,Ben,"Sometimes I drink to forget art",1984
Swiss,Ben,"No More Art",1985
Swiss,Ben,"Peinture Rouge",1987
Swiss,Ben,Certificat,1988
Swiss,Ben,"Artiste au poil!",1989
Swiss,Ben,"Voulez-vous que j'enlÃ¨ve mon T-shirt maintenant ou aprÃ¨s?",1989
Swiss,Ben,"Je Suis dans la Lune",1990
Swiss,Ben,"7 Ans de Bonheur, Livre d'art",1991
Swiss,Ben,"Aimez-vous les uns les autres",1992
Swiss,Ben,"C'est la vie",1998
Swiss,"Bruno Jakob","Unseen (Portraits, Somebodies)",1998
Swiss,"Camille Graeser","Harmonic Construction",1951
Swiss,"Camille Graeser","1 + 3 x 3",1957
Swiss,"Camille Graeser","Rote Dominante",1957
Swiss,"Camille Graeser","Regression in Movement",1962
Swiss,"Camille Graeser",Relation,1966
Swiss,"Camille Graeser","Polare Dislokation",1967
Swiss,"Camille Graeser","Elements in Movement",1968
Swiss,"Camille Graeser","Red Is Stepping Out of Line",1968
Swiss,"Camille Graeser","Permutation I",1969
Swiss,"Camille Graeser","Disloziertes grÃ¼nes Quadrat",1971
Swiss,"Camille Graeser","KomplementÃ¤res Spannungsfeld",1971
Swiss,"Camille Graeser",Permutation,1972
Swiss,"Camille Graeser","KomplementÃ¤r-Relation I",1973
Swiss,"Camille Graeser","Disloziertes Quadrat",1974
Swiss,"Camille Graeser","Rot-grÃ¼n-volumen 1:1, 1/8 Bewegt",1974
Swiss,"Camille Graeser","Summand-Konstruktion D",1974
Swiss,"Camille Graeser","Aus der Ebene bewegt",1977
Swiss,"Camille Graeser",Untitled,1977
Swiss,"Camille Graeser","GrÃ¼n / Orange 3:1",1979
Swiss,"Daniel Spoerri","Snare Picture",1960
Swiss,"Daniel Spoerri","Poubelle (Palimdromic Dinner)",1961
Swiss,"Daniel Spoerri","The Boxes (Snare-Picture)",1961
Swiss,"Daniel Spoerri","La jungle",1961
Swiss,"Daniel Spoerri","Eaten by Marcel Duchamp",1964
Swiss,"Daniel Spoerri","Meal Variation - Eaten By Roy Lichtenstein",1964
Swiss,"Daniel Spoerri","Table du restaurant de la City Gallery",1965
Swiss,"Daniel Spoerri","Magie Ã  la noix",1967
Swiss,"Daniel Spoerri","Cage d'oiseau",1969
Swiss,"Daniel Spoerri","Brotteigobjekt Schreibmaschine",1970
Swiss,"Daniel Spoerri","Snare Picture",1972
Swiss,"Daniel Spoerri","Erpete Squamoso Orbiculare",1986
Swiss,"Daniel Spoerri","Ethno-syncretic object",1986
Swiss,"Daniel Spoerri",Untitled,1988
Swiss,"Daniel Spoerri","Large work table (Marcel Duchamp remis en place)",1989
Swiss,"Daniel Spoerri","Assemblage mit dem Kopf eines Pferdes",1990
Swiss,"Daniel Spoerri","Henkel Bankett",1990
Swiss,"Daniel Spoerri","Le Chef",1991
Swiss,"Daniel Spoerri","Sevilla-Serie Nr. 27 Assemblage",1992
Swiss,"Daniel Spoerri","Tableau piÃ¨ge after Sevilla",1992
Swiss,"Daniel Spoerri","Lepreux d'Islande II",1993
Swiss,"Daniel Spoerri","Encyclopaedie Diderot et dâ€™Alembert",1994
Swiss,"Dieter Roth","Children's Book",1957
Swiss,"Dieter Roth",Book,1958
Swiss,"Dieter Roth",Idea,1960
Swiss,"Dieter Roth","Daily Mirror",1961
Swiss,"Dieter Roth",Stupidogramm,1962
Swiss,"Dieter Roth",Idea,1964
Swiss,"Dieter Roth",Quick,1965
Swiss,"Dieter Roth","Chateau Vesuv",1967
Swiss,"Dieter Roth","Graphic with Cocoa",1968
Swiss,"Dieter Roth","Small  Island",1968
Swiss,"Dieter Roth","Small Landscape",1968
Swiss,"Dieter Roth",Postcard,1968
Swiss,"Dieter Roth",Motorcyclist,1969
Swiss,"Dieter Roth","My Eye is a Mouth",1969
Swiss,"Dieter Roth","P.O.TH.A.A.VFB (Portrait of the artist as VogelfutterbÃ¼ste)",1969
Swiss,"Dieter Roth","Postcard (Hyde Park)",1969
Swiss,"Dieter Roth","Schokolade-Objekt (Schokoladenpuppe)",1969
Swiss,"Dieter Roth","Self Portrait (D.111)",1969
Swiss,"Dieter Roth","Tall Garden Gnome",1969
Swiss,"Dieter Roth","When G Dug into the Toys he Struck Terrible Shit",1969
