Country,Artist_Name,Artwork_Name,Year
Ukrainian,"Abraham Manievich","Winter Landscape with a Church, ",1905
Ukrainian,"Abraham Manievich","Vinnytsia, Yerusalymka District",1905
Ukrainian,"Abraham Manievich","Winter Landscape: Outskirts of Kyiv",1908
Ukrainian,"Abraham Manievich","Troika in the Snow",1910
Ukrainian,"Abraham Manievich","Birch Trees",1911
Ukrainian,"Abraham Manievich","Winter Scene with Church",1911
Ukrainian,"Abraham Manievich","The Spring Sun",1913
Ukrainian,"Abraham Manievich","Spring in Kyiv`s Kurenivka District",1915
Ukrainian,"Abraham Manievich","Street in a Provincial Town",1915
Ukrainian,"Abraham Manievich","Destruction of the Ghetto, Kiev",1919
Ukrainian,"Abraham Manievich","Rural Landscape",1921
Ukrainian,"Abraham Manievich",Camden,1923
Ukrainian,"Abraham Manievich",Untitled,1925
Ukrainian,"Abraham Manievich",Untitled,1925
Ukrainian,"Abraham Manievich","Autumn in the Park",1925
Ukrainian,"Abraham Manievich","Portrait of the Artist`s Wife",1929
Ukrainian,"Abraham Manievich","Still Life",1930
Ukrainian,"Abraham Manievich","Artist's Wife",1937
Ukrainian,"Abraham Manievich","Cloudy Day, Bridgeport, Connecticut",1939
Ukrainian,"Aleksandra Ekster","Still life, 190",1910
Ukrainian,"Aleksandra Ekster","Three Female Figures",1910
Ukrainian,"Aleksandra Ekster","Bridge. Sevres",1912
Ukrainian,"Aleksandra Ekster","Color construction",1912
Ukrainian,"Aleksandra Ekster","Interno cubista",1912
Ukrainian,"Aleksandra Ekster","View of Paris",1912
Ukrainian,"Aleksandra Ekster",City,1913
Ukrainian,"Aleksandra Ekster","Still life",1913
Ukrainian,"Aleksandra Ekster","Color Dynamics",1914
Ukrainian,"Aleksandra Ekster","Genoa, 191",1914
Ukrainian,"Aleksandra Ekster","Still life, bowl of cherries",1914
Ukrainian,"Aleksandra Ekster",Wine,1914
Ukrainian,"Aleksandra Ekster","Florence, 191",1915
Ukrainian,"Aleksandra Ekster","Still life with egg",1915
Ukrainian,"Aleksandra Ekster",Venice,1915
Ukrainian,"Aleksandra Ekster","Cityscape (composition",1916
Ukrainian,"Aleksandra Ekster","Costume Design for the play ""Famira Kifared"""" by Innokentiy Annenski. Maenad.""",1916
Ukrainian,"Aleksandra Ekster","Costume Design for the play ""Famira Kifared""""""",1916
Ukrainian,"Aleksandra Ekster","Costume Design for the play ""Famira Kifared""""""",1916
Ukrainian,"Aleksandra Ekster","Costume design for theatre Moscow",1916
Ukrainian,"Aleksandra Ekster","Costume design for ""Dance of the Seven Veils""""""",1917
Ukrainian,"Aleksandra Ekster","Costume design for Salome",1917
Ukrainian,"Aleksandra Ekster","Blue, black, red, 191",1918
Ukrainian,"Aleksandra Ekster","Futuristic composition, 191",1918
Ukrainian,"Aleksandra Ekster","Women's costume",1918
Ukrainian,"Aleksandra Ekster","City at Night",1919
Ukrainian,"Aleksandra Ekster","Costume for Romeo and Juliet",1920
Ukrainian,"Aleksandra Ekster","Women's costume for the Spanish dance",1920
Ukrainian,"Aleksandra Ekster","Women's costume for the Spanish dance",1920
Ukrainian,"Aleksandra Ekster","Women's costume for the Spanish dance",1920
Ukrainian,"Aleksandra Ekster","Costume Design for ""Modern Khlestakov""""""",1921
Ukrainian,"Aleksandra Ekster","Romeo and Juliet, costume for first mask at ball",1921
Ukrainian,"Aleksandra Ekster","Theatrical costume design for the play by William Shakespeare's ""Romeo and Juliet """"""",1921
Ukrainian,"Aleksandra Ekster","Satanic Ballet",1922
Ukrainian,"Aleksandra Ekster","Construction, 192",1923
Ukrainian,"Aleksandra Ekster",Venice,1924
Ukrainian,"Aleksandra Ekster",Venice,1925
Ukrainian,"Aleksandra Ekster",City,1927
Ukrainian,"Aleksandra Ekster","Woman with birds, 192",1928
Ukrainian,"Aleksandra Ekster","Don Juan, and death. Sheet of from the album ""Theater Set""""""",1930
Ukrainian,"Aleksandra Ekster","Woman with fish, 193",1934
Ukrainian,"Aleksandra Ekster","View of the bridge, 193",1938
Ukrainian,"Aleksandra Ekster","View of the bridge, 193",1938
Ukrainian,"Arkhip Kuindzhi","Elbrus , ",1900
Ukrainian,"Arkhip Kuindzhi","Elbrus in the daytime, ",1900
Ukrainian,"Arkhip Kuindzhi","Fishing on the Black Sea",1900
Ukrainian,"Arkhip Kuindzhi","Rainbow, ",1900
Ukrainian,"Arkhip Kuindzhi","Sunset in the steppes",1900
Ukrainian,"Arkhip Kuindzhi","A Birch Grove",1901
Ukrainian,"Arkhip Kuindzhi","Christ in the Garden of Gethsemane",1901
Ukrainian,"Arkhip Kuindzhi","Dnieper ",1901
Ukrainian,"Arkhip Kuindzhi","Dnieper ",1901
Ukrainian,"Arkhip Kuindzhi","Clouds, ",1905
Ukrainian,"Arkhip Kuindzhi","Clouds, ",1905
Ukrainian,"Arkhip Kuindzhi","Crimea, ",1905
Ukrainian,"Arkhip Kuindzhi","Crimea, ",1905
Ukrainian,"Arkhip Kuindzhi","In the Crimea, ",1905
Ukrainian,"Arkhip Kuindzhi","Oaks, ",1905
Ukrainian,"Arkhip Kuindzhi","Rainbow, ",1905
Ukrainian,"Arkhip Kuindzhi","A Birch Grove, ",1908
Ukrainian,"Arkhip Kuindzhi","Ai-Petri. Crimea, ",1908
Ukrainian,"Arkhip Kuindzhi","Autumn. Fog, ",1908
Ukrainian,"Arkhip Kuindzhi","Cloud , ",1908
Ukrainian,"Arkhip Kuindzhi","Cloud over the mountain valley, ",1908
Ukrainian,"Arkhip Kuindzhi","Coast of the sea with a rock, ",1908
Ukrainian,"Arkhip Kuindzhi","Crescent moon at sunset, ",1908
Ukrainian,"Arkhip Kuindzhi","Elbrus in the Evening, ",1908
Ukrainian,"Arkhip Kuindzhi","Elbrus in the Evening, ",1908
Ukrainian,"Arkhip Kuindzhi","Expanse. Crimea, ",1908
Ukrainian,"Arkhip Kuindzhi","Flower Garden. Caucasus",1908
Ukrainian,"Arkhip Kuindzhi","Fog in the mountains. Caucasus, ",1908
Ukrainian,"Arkhip Kuindzhi","Forest expanse, ",1908
Ukrainian,"Arkhip Kuindzhi","Forest Glade. Fog, ",1908
Ukrainian,"Arkhip Kuindzhi","Forest swamp, ",1908
Ukrainian,"Arkhip Kuindzhi","Forest. Burdock , ",1908
Ukrainian,"Arkhip Kuindzhi","Grove, ",1908
Ukrainian,"Arkhip Kuindzhi","Moonlight in a Forest. Winter, ",1908
Ukrainian,"Arkhip Kuindzhi","Moonlight Night on the Dnieper, ",1908
Ukrainian,"Arkhip Kuindzhi","Night, ",1908
Ukrainian,"Arkhip Kuindzhi","Red sunset, ",1908
Ukrainian,"Arkhip Kuindzhi","Red sunset, ",1908
Ukrainian,"Arkhip Kuindzhi","Sunlight in the park, ",1908
Ukrainian,"Arkhip Kuindzhi","Sunset, ",1908
Ukrainian,"Arkhip Kuindzhi","Sunset in the steppes by the sea, ",1908
Ukrainian,"Arkhip Kuindzhi","The limpid water. Gloomy day. Crimea, ",1908
Ukrainian,"Arkhip Kuindzhi","The Sea. The Crimea, ",1908
Ukrainian,"Arkhip Kuindzhi","The top of Mount Elbrus in the Sunlight, ",1908
Ukrainian,"Boris Margo","Portrait of My Mother",1935
Ukrainian,"Boris Margo","Untitled [MR141]",1937
Ukrainian,"Boris Margo","Enchanted Beach",1938
Ukrainian,"Boris Margo","Untitled [MR196]",1938
Ukrainian,"Boris Margo","The Alchemist",1940
Ukrainian,"Boris Margo",Lookout,1942
Ukrainian,"Boris Margo",Corralled,1945
Ukrainian,"Boris Margo","From an Omnious Chord",1945
Ukrainian,"Boris Margo","Ignes Fatui",1945
Ukrainian,"Boris Margo","Pleistocene Monarchs #2",1945
Ukrainian,"Boris Margo","Black Light",1946
Ukrainian,"Boris Margo",Dancers,1946
Ukrainian,"Boris Margo","Dawn Dance",1946
Ukrainian,"Boris Margo","Echoed Forms",1947
Ukrainian,"Boris Margo","From Thoughts of Alchemy",1947
Ukrainian,"Boris Margo","Thermal Forces",1947
Ukrainian,"Boris Margo","From November Nights",1955
Ukrainian,"Boris Margo","July 21",1955
Ukrainian,"Boris Margo","Trajectory of Dawn",1957
Ukrainian,"Boris Margo",Expanding,1959
Ukrainian,"David Burliuk","Hills near village, ",1900
Ukrainian,"David Burliuk","In a park, ",1900
Ukrainian,"David Burliuk","Landscape with a flowerbed",1906
Ukrainian,"David Burliuk","Summer forest",1906
Ukrainian,"David Burliuk","A horse-lightning",1907
Ukrainian,"David Burliuk",Duckling,1907
