Date,TotalCheckouts,Average
2006-01-01,2,48
2006-01-02,14575,44
2006-01-03,17380,40
2006-01-04,15407,45
2006-01-05,14384,48
2006-01-06,18924,51
2006-01-07,14307,46
2006-01-08,7171,42
2006-01-09,17970,48
2006-01-10,17239,49
2006-01-11,22924,46
2006-01-12,16694,44
2006-01-13,18350,47
2006-01-14,8742,40
2006-01-15,14,40
2006-01-18,1843,44
2006-01-24,19335,46
2006-01-25,21443,41
2006-01-26,17920,44
2006-01-27,21231,42
2006-01-28,23769,42
2006-01-29,6774,42
2006-01-30,19725,48
2006-01-31,17496,44
2006-02-01,23416,48
2006-02-02,17944,46
2006-02-03,21454,48
2006-02-04,19948,46
2006-02-05,5417,41
2006-02-06,16519,45
2006-02-07,18089,46
2006-02-08,22061,46
2006-02-09,17057,44
2006-02-10,17620,46
2006-02-11,19699,44
2006-02-12,6167,45
2006-02-13,17265,42
2006-02-14,17104,39
2006-02-15,21628,36
2006-02-16,17707,36
2006-02-17,19790,32
2006-02-18,21644,32
2006-02-19,6964,34
2006-02-20,13,32
2006-02-21,22152,42
2006-02-22,21550,44
2006-02-23,18835,40
2006-02-24,19628,36
2006-02-25,14352,40
2006-02-27,14251,47
2006-02-28,17877,42
2006-03-01,21504,48
2006-03-02,20163,48
2006-03-03,19040,44
2006-03-04,20241,48
2006-03-05,8797,50
2006-03-06,18990,50
2006-03-07,18705,47
2006-03-08,21077,40
2006-03-09,21249,39
2006-03-10,17760,40
2006-03-11,22464,40
2006-03-12,7767,40
2006-03-13,15594,43
2006-03-14,16795,46
2006-03-15,22138,44
2006-03-16,20316,44
2006-03-17,20381,42
2006-03-18,20681,44
2006-03-19,8258,42
2006-03-20,18744,47
2006-03-21,19371,48
2006-03-22,21248,50
2006-03-23,20448,55
2006-03-24,19173,49
2006-03-25,19746,44
2006-03-26,9480,46
2006-03-27,18335,50
2006-03-28,18784,52
2006-03-29,21671,50
2006-03-30,20627,50
2006-03-31,18942,52
2006-04-01,20891,48
2006-04-02,7729,50
2006-04-03,16980,50
2006-04-04,17369,48
2006-04-05,11812,52
2006-04-06,8304,48
2006-04-07,17843,52
2006-04-08,20914,50
2006-04-09,9182,50
2006-04-10,18059,52
2006-04-11,18297,51
2006-04-12,21689,52
2006-04-13,21245,48
2006-04-14,19124,44
2006-04-15,19150,46
2006-04-16,1,46
2006-04-17,6913,47
2006-04-20,9040,54
2006-04-21,19208,48
2006-04-22,19491,48
2006-04-23,7543,58
2006-04-24,19401,58
2006-04-25,16545,56
2006-04-26,23338,50
2006-04-27,20329,58
2006-04-28,17175,62
2006-04-29,21092,47
2006-04-30,9728,46
2006-05-02,14975,50
2006-05-03,21367,56
2006-05-04,19860,60
2006-05-05,17186,60
2006-05-06,21160,52
2006-05-07,9194,52
2006-05-08,20891,50
2006-05-09,18987,52
2006-05-20,5415,60
2006-05-21,8692,59
2006-05-22,21412,58
2006-05-23,20255,56
2006-05-24,23211,58
2006-05-25,22156,54
2006-05-26,20950,55
2006-05-27,21675,54
2006-05-28,10069,55
2006-05-29,22,58
2006-05-30,21630,60
2006-05-31,21914,64
2006-06-01,22465,63
2006-06-02,19276,60
2006-06-03,20095,62
2006-06-04,9949,60
2006-06-05,19530,62
2006-06-06,19269,62
2006-06-07,22353,62
2006-06-08,22462,58
2006-06-09,19262,57
2006-06-10,20306,60
2006-06-11,8160,64
2006-06-12,20296,65
2006-06-13,20664,62
2006-06-14,23968,60
2006-06-15,22228,62
2006-06-16,20019,62
2006-06-17,18247,62
2006-06-18,8165,59
2006-06-19,19314,60
2006-06-20,20336,61
2006-06-21,23769,60
2006-06-22,23749,62
2006-06-23,19531,64
2006-06-24,16843,68
2006-06-25,7690,74
2006-06-26,18893,78
2006-06-27,20997,73
2006-06-28,24720,64
2006-06-29,23397,68
2006-06-30,19085,72
2006-07-01,17747,68
2006-07-02,7698,68
2006-07-03,20106,66
2006-07-04,11,66
2006-07-05,28862,59
2006-07-06,25070,60
2006-07-07,20546,65
2006-07-08,18492,70
2006-07-09,8353,72
2006-07-10,22645,62
2006-07-11,21355,63
2006-07-12,27456,64
2006-07-13,24253,62
2006-07-14,19080,68
2006-07-15,22000,66
2006-07-16,9441,66
2006-07-17,24809,62
2006-07-18,21271,64
2006-07-19,25219,66
2006-07-20,23702,71
2006-07-21,19408,78
2006-07-22,19082,81
2006-07-23,8293,80
2006-07-24,21145,80
2006-07-25,22070,68
