COUNT(*),Date(cout)
24763,2016-01-02
14212,2016-01-03
24704,2016-01-04
21140,2016-01-05
21135,2016-01-06
21210,2016-01-07
14540,2016-01-08
26861,2016-01-09
14955,2016-01-10
23004,2016-01-11
19043,2016-01-12
21490,2016-01-13
18827,2016-01-14
14394,2016-01-15
23539,2016-01-16
15927,2016-01-17
4,2016-01-18
24437,2016-01-19
21126,2016-01-20
17916,2016-01-21
15671,2016-01-22
26270,2016-01-23
16338,2016-01-24
22572,2016-01-25
20102,2016-01-26
20751,2016-01-27
20423,2016-01-28
14685,2016-01-29
25014,2016-01-30
16477,2016-01-31
21341,2016-02-01
19631,2016-02-02
18779,2016-02-03
20346,2016-02-04
13833,2016-02-05
10756,2016-02-06
13508,2016-02-07
19860,2016-02-08
19114,2016-02-09
19797,2016-02-10
19403,2016-02-11
14471,2016-02-12
24519,2016-02-13
15124,2016-02-14
27914,2016-02-16
20579,2016-02-17
19897,2016-02-18
14824,2016-02-19
24956,2016-02-20
16903,2016-02-21
22293,2016-02-22
19045,2016-02-23
19787,2016-02-24
19726,2016-02-25
14687,2016-02-26
25639,2016-02-27
15769,2016-02-28
21318,2016-02-29
18186,2016-03-01
20868,2016-03-02
19219,2016-03-03
13964,2016-03-04
23100,2016-03-05
16452,2016-03-06
22386,2016-03-07
19287,2016-03-08
17642,2016-03-09
19888,2016-03-10
13858,2016-03-11
24038,2016-03-12
14203,2016-03-13
23015,2016-03-14
20236,2016-03-15
19082,2016-03-16
17794,2016-03-17
13414,2016-03-18
22602,2016-03-19
15391,2016-03-20
22202,2016-03-21
19273,2016-03-22
20254,2016-03-23
19372,2016-03-24
12807,2016-03-25
21705,2016-03-26
10128,2016-03-27
24066,2016-03-28
16888,2016-03-29
17013,2016-03-30
17192,2016-03-31
12440,2016-04-01
20845,2016-04-02
12985,2016-04-03
22866,2016-04-04
19135,2016-04-05
18674,2016-04-06
16838,2016-04-07
13010,2016-04-08
20755,2016-04-09
13610,2016-04-10
23026,2016-04-11
18456,2016-04-12
19791,2016-04-13
19048,2016-04-14
13341,2016-04-15
19649,2016-04-16
12608,2016-04-17
19476,2016-04-18
17244,2016-04-19
17129,2016-04-20
18409,2016-04-21
13788,2016-04-22
22693,2016-04-23
15621,2016-04-24
21373,2016-04-25
18677,2016-04-26
18757,2016-04-27
18781,2016-04-28
13150,2016-04-29
20300,2016-04-30
11866,2016-05-01
19637,2016-05-02
18031,2016-05-03
19271,2016-05-04
16704,2016-05-05
11475,2016-05-06
15695,2016-05-07
13229,2016-05-08
21988,2016-05-09
17765,2016-05-10
17491,2016-05-11
17345,2016-05-12
11652,2016-05-13
22389,2016-05-14
14066,2016-05-15
21817,2016-05-16
18367,2016-05-17
17801,2016-05-18
18050,2016-05-19
12663,2016-05-20
23317,2016-05-21
13556,2016-05-22
21532,2016-05-23
19792,2016-05-24
18542,2016-05-25
19743,2016-05-26
14070,2016-05-27
22329,2016-05-28
13362,2016-05-29
21483,2016-05-31
17072,2016-06-01
18597,2016-06-02
10014,2016-06-03
16525,2016-06-04
11542,2016-06-05
20459,2016-06-06
18171,2016-06-07
19574,2016-06-08
18802,2016-06-09
13393,2016-06-10
22387,2016-06-11
13014,2016-06-12
21446,2016-06-13
19059,2016-06-14
18452,2016-06-15
18238,2016-06-16
12744,2016-06-17
21280,2016-06-18
11276,2016-06-19
22084,2016-06-20
20066,2016-06-21
18521,2016-06-22
19623,2016-06-23
14331,2016-06-24
20329,2016-06-25
12643,2016-06-26
25045,2016-06-27
21144,2016-06-28
20442,2016-06-29
22291,2016-06-30
15443,2016-07-01
20425,2016-07-02
13550,2016-07-03
25100,2016-07-05
21048,2016-07-06
22618,2016-07-07
15663,2016-07-08
20985,2016-07-09
13521,2016-07-10
23608,2016-07-11
20561,2016-07-12
20448,2016-07-13
19328,2016-07-14
15151,2016-07-15
20735,2016-07-16
12186,2016-07-17
23617,2016-07-18
19994,2016-07-19
12941,2016-07-20
17445,2016-07-21
15145,2016-07-22
19314,2016-07-23
11995,2016-07-24
21990,2016-07-25
20841,2016-07-26
18615,2016-07-27
18683,2016-07-28
13885,2016-07-29
19958,2016-07-30
12803,2016-07-31
22066,2016-08-01
20595,2016-08-02
18667,2016-08-03
18705,2016-08-04
13261,2016-08-05
18387,2016-08-06
12578,2016-08-07
23604,2016-08-08
20048,2016-08-09
18849,2016-08-10
18466,2016-08-11
12621,2016-08-12
17080,2016-08-13
11904,2016-08-14
21901,2016-08-15
20132,2016-08-16
19058,2016-08-17
18243,2016-08-18
13467,2016-08-19
18049,2016-08-20
14138,2016-08-21
22669,2016-08-22
19278,2016-08-23
18124,2016-08-24
18976,2016-08-25
13598,2016-08-26
19195,2016-08-27
12750,2016-08-28
21605,2016-08-29
20202,2016-08-30
21063,2016-08-31
20571,2016-09-01
15943,2016-09-02
20938,2016-09-03
12739,2016-09-04
28825,2016-09-06
19862,2016-09-07
18992,2016-09-08
13562,2016-09-09
20645,2016-09-10
13073,2016-09-11
20348,2016-09-12
19609,2016-09-13
18592,2016-09-14
18901,2016-09-15
14018,2016-09-16
23606,2016-09-17
12958,2016-09-18
21135,2016-09-19
18900,2016-09-20
17534,2016-09-21
17378,2016-09-22
14141,2016-09-23
20092,2016-09-24
12369,2016-09-25
18519,2016-09-26
18798,2016-09-27
19067,2016-09-28
16960,2016-09-29
12775,2016-09-30
21487,2016-10-01
13437,2016-10-02
19962,2016-10-03
17769,2016-10-04
19478,2016-10-05
18483,2016-10-06
14932,2016-10-07
20077,2016-10-08
14398,2016-10-09
19262,2016-10-10
17901,2016-10-11
17186,2016-10-12
17734,2016-10-13
16401,2016-10-14
15436,2016-10-15
14672,2016-10-16
21967,2016-10-17
18910,2016-10-18
17849,2016-10-19
18641,2016-10-20
14193,2016-10-21
20677,2016-10-22
13987,2016-10-23
20577,2016-10-24
18837,2016-10-25
17484,2016-10-26
18502,2016-10-27
12776,2016-10-28
20954,2016-10-29
13281,2016-10-30
15783,2016-10-31
18447,2016-11-01
17902,2016-11-02
17513,2016-11-03
14411,2016-11-04
21806,2016-11-05
15639,2016-11-06
20673,2016-11-07
15941,2016-11-08
17378,2016-11-09
19977,2016-11-10
23847,2016-11-12
14244,2016-11-13
18585,2016-11-14
17787,2016-11-15
20015,2016-11-16
19097,2016-11-17
14455,2016-11-18
24266,2016-11-19
14113,2016-11-20
22625,2016-11-21
20317,2016-11-22
25335,2016-11-23
12776,2016-11-25
19991,2016-11-26
14043,2016-11-27
20714,2016-11-28
18688,2016-11-29
18709,2016-11-30
18098,2016-12-01
14121,2016-12-02
22821,2016-12-03
13418,2016-12-04
19511,2016-12-05
17316,2016-12-06
17630,2016-12-07
17265,2016-12-08
10193,2016-12-09
19785,2016-12-10
12159,2016-12-11
20196,2016-12-12
16815,2016-12-13
16980,2016-12-14
15806,2016-12-15
12949,2016-12-16
20245,2016-12-17
11317,2016-12-18
19929,2016-12-19
18024,2016-12-20
17197,2016-12-21
18047,2016-12-22
16775,2016-12-23
18364,2016-12-26
20617,2016-12-27
19774,2016-12-28
18474,2016-12-29
15661,2016-12-30
17311,2016-12-31
